# Timer data started: Tue Apr  6 10:53:34 2021
# timer(10 ns), starts, total starts, total stops
232, 332, 64504, 259
12, 87, 64591, 260
138, 103, 64694, 261
173, 198, 64892, 262
15, 796, 65688, 263
229, 100, 65788, 264
2008, 379, 66167, 265
174, 342, 66509, 266
1384, 274, 66783, 267
432, 725, 67508, 268
1702, 679, 68187, 269
546, 513, 68700, 270
1540, 525, 69225, 271
1383, 342, 69567, 272
319, 43, 69610, 273
41, 63, 69673, 274
273, 171, 69844, 275
2492, 12, 69856, 276
498, 119, 69975, 277
624, 25, 70000, 278
2587, 393, 70393, 279
1168, 202, 70595, 280
39, 342, 70937, 281
263, 774, 71711, 282
1682, 154, 71865, 283
81, 443, 72308, 284
2123, 149, 72457, 285
83, 78, 72535, 286
1638, 265, 72800, 287
101, 111, 72911, 288
184, 164, 73075, 289
2904, 212, 73287, 290
185, 757, 74044, 291
40, 501, 74545, 292
3273, 342, 74887, 293
124, 412, 75299, 294
3934, 89, 75388, 295
217, 113, 75501, 296
292, 13, 75514, 297
1915, 349, 75863, 298
341, 854, 76717, 299
1486, 1070, 77787, 300
286, 174, 77961, 301
536, 29, 77990, 302
109, 37, 78027, 303
48, 165, 78192, 304
2151, 37, 78229, 305
68, 3, 78232, 306
249, 1350, 79582, 307
1915, 112, 79694, 308
75, 19, 79713, 309
180, 470, 80183, 310
258, 113, 80296, 311
2878, 212, 80508, 312
82, 47, 80555, 313
3649, 409, 80964, 314
89, 282, 81246, 315
2819, 283, 81529, 316
134, 223, 81752, 317
845, 113, 81865, 318
3410, 480, 82345, 319
2249, 46, 82391, 320
48, 235, 82626, 321
160, 186, 82812, 322
75, 239, 83051, 323
70, 135, 83186, 324
4042, 7, 83193, 325
32, 84, 83277, 326
3641, 41, 83318, 327
349, 201, 83519, 328
1133, 354, 83873, 329
3534, 262, 84135, 330
1294, 305, 84440, 331
296, 250, 84690, 332
635, 7, 84697, 333
2051, 102, 84799, 334
187, 102, 84901, 335
1002, 106, 85007, 336
2193, 22, 85029, 337
2219, 84, 85113, 338
762, 78, 85191, 339
349, 27, 85218, 340
413, 157, 85375, 341
182, 29, 85404, 342
600, 252, 85656, 343
2885, 104, 85760, 344
177, 570, 86330, 345
386, 629, 86959, 346
3683, 28, 86987, 347
3925, 556, 87543, 348
567, 365, 87908, 349
576, 231, 88139, 350
58, 1518, 89657, 351
242, 331, 89988, 352
1291, 27, 90015, 353
1428, 233, 90248, 354
156, 151, 90399, 355
40, 443, 90842, 356
3791, 70, 90912, 357
3518, 414, 91326, 358
2371, 311, 91637, 359
50, 115, 91752, 360
398, 74, 91826, 361
69, 209, 92035, 362
26, 45, 92080, 363
312, 183, 92263, 364
19, 57, 92320, 365
17, 27, 92347, 366
112, 144, 92491, 367
2409, 199, 92690, 368
18, 312, 93002, 369
1978, 490, 93492, 370
1839, 122, 93614, 371
2007, 363, 93977, 372
1640, 283, 94260, 373
1649, 61, 94321, 374
147, 185, 94506, 375
119, 518, 95024, 376
473, 783, 95807, 377
444, 81, 95888, 378
494, 94, 95982, 379
435, 939, 96921, 380
3396, 388, 97309, 381
370, 96, 97405, 382
20, 187, 97592, 383
200, 140, 97732, 384
36, 76, 97808, 385
1354, 10, 97818, 386
151, 27, 97845, 387
160, 13, 97858, 388
887, 126, 97984, 389
1660, 399, 98383, 390
310, 2, 98385, 391
2891, 217, 98602, 392
12, 313, 98915, 393
2887, 217, 99132, 394
1283, 40, 99172, 395
330, 296, 99468, 396
244, 233, 99701, 397
368, 7, 99708, 398
1266, 73, 99781, 399
2522, 317, 100098, 400
384, 184, 100282, 401
19, 273, 100555, 402
922, 183, 100738, 403
147, 172, 100910, 404
428, 218, 101128, 405
174, 186, 101314, 406
85, 566, 101880, 407
1250, 615, 102495, 408
60, 1113, 103608, 409
131, 327, 103935, 410
20, 285, 104220, 411
113, 689, 104909, 412
47, 161, 105070, 413
3048, 250, 105320, 414
